F1,F2,F3
3.2066,0.27936,-3.3619
1.5504,0.062379,-0.099807
3.2471,0.065208,-2.7764
5.0369,1.1478,-5.6082
3.2164,0.34533,-2.5432
2.6712,0.32826,-2.1174
2.3818,0.13391,-1.2294
2.9492,0.19765,-2.537
2.5121,0.19555,-1.4424
2.5374,0.015284,-2.0759
1.5589,-0.022246,-0.75143
3.0601,0.088555,-2.358
4.3714,0.79142,-4.3745
1.2602,-0.067811,0.18476
2.8229,0.29832,-2.5814
1.499,0.05873,-0.1876
2.6516,0.35038,-2.589
4.15,0.69308,-3.9921
3.7603,0.49883,-3.6934
1.2099,0.0041901,0.46954
1.3488,0.0078686,-0.40472
2.6726,-0.045368,-2.2768
2.5025,0.22664,-1.7671
1.8798,-0.20826,-1.3976
3.6776,0.56553,-3.1466
4.1721,0.71883,-4.2455
3.1506,0.34171,-2.2111
3.7856,0.59077,-3.4238
3.5596,0.35735,-3.5888
2.795,0.23535,-2.245
3.43,0.46389,-2.8477
2.6937,-0.074189,-2.1599
5.4762,1.6276,-6.6305
3.2057,0.41254,-2.4173
5.062,1.2921,-5.2927
2.6625,0.21543,-2.0575
1.7371,0.15809,-0.58569
3.3182,0.46303,-2.942
3.9501,0.48274,-3.7231
1.2622,0.052326,0.19414
5.1323,1.3257,-5.7756
4.2359,0.79589,-4.7085
3.8471,0.74406,-3.7553
4.657,0.99491,-4.9563
3.2838,0.24831,-3.1317
5.2003,1.3216,-5.7889
2.4209,0.29138,-1.2606
1.5106,0.012977,-0.15597
2.8409,0.41266,-1.8926
1.8764,0.12101,-0.67158
3.1789,0.20773,-2.8937
3.0435,0.2778,-2.461
1.8155,0.059766,-0.8602
2.0007,0.050553,-0.93662
4.9544,1.0889,-5.5486
3.0898,0.14974,-2.5247
4.1458,0.66506,-4.5237
2.3305,0.29622,-1.3341
4.8358,1.0135,-5.2707
3.5446,0.2925,-3.8516
4.6267,1.0415,-5.3547
4.2331,0.84337,-4.7103
2.3972,0.0054764,-1.7617
2.8447,0.11745,-2.3778
2.7045,0.39039,-1.8172
2.761,0.31502,-2.2618
3.5016,0.49912,-3.2606
1.9558,-0.17445,-1.0723
2.1641,0.18677,-1.6211
4.1938,0.75246,-4.1517
2.3091,0.017321,-1.2709
2.9939,0.2949,-2.5335
3.7028,0.36227,-4.0731
2.7018,0.072345,-2.1153
2.9406,0.43584,-2.734
3.7223,0.36544,-3.1972
3.4795,0.48582,-3.8809
2.7779,0.35756,-2.5284
3.388,0.37477,-3.207
3.6583,0.24511,-3.411
3.4303,0.39016,-3.2846
4.6671,0.83981,-5.4054
3.2739,0.4323,-3.1925
1.4984,0.10675,-0.14072
2.3121,0.166,-1.391
2.3875,0.092645,-2.2581
2.5357,0.20472,-2.2373
2.7281,0.13336,-2.0467
4.7028,1.1204,-4.9545
2.926,0.1917,-2.5594
1.4459,-0.11264,0.010699
3.9745,0.61491,-2.9671
4.1469,0.60615,-4.455
2.6462,0.15394,-2.2666
3.1152,0.22987,-2.151
3.3608,0.43757,-3.3088
3.5234,0.35966,-3.4907
2.5476,0.11849,-1.4834
4.4457,0.82922,-4.5331
3.7272,0.53086,-3.5068
2.3439,0.055282,-1.3925
1.7378,0.046619,-0.18719
2.0429,0.021584,-1.0926
2.8354,0.34275,-2.6576
3.7741,0.48768,-3.9807
2.9666,0.23713,-2.5101
1.8963,0.16415,-1.035
3.3766,0.43422,-2.9741
3.2461,0.42189,-2.7694
3.3268,0.1882,-3.1072
3.1854,0.34066,-2.6783
4.7564,1.0113,-5.2801
3.514,0.44021,-2.9804
4.3818,0.68362,-4.325
2.7946,0.1455,-2.0927
3.9854,0.64947,-3.9473
5.1735,1.315,-5.8082
4.1484,0.80075,-4.2401
2.8757,0.13627,-2.3667
2.7939,0.35576,-1.867
3.4041,0.33461,-2.7415
1.3975,0.13429,-0.14108
3.6227,0.56938,-3.4667
3.6222,0.33406,-3.3305
3.7869,0.73507,-4.1222
3.7648,0.38982,-3.6772
2.5495,-0.031933,-1.656
2.3019,0.11225,-1.9806
3.6494,0.54849,-3.8514
2.4745,0.098174,-1.7182
1.9717,0.10509,-1.1823
4.2269,0.73377,-4.4705
2.7731,0.26042,-1.8777
3.9506,0.75039,-3.8452
3.0545,0.2248,-3.0666
5.3713,1.5683,-5.6836
2.7415,0.23667,-1.5761
2.4912,0.11511,-1.9639
4.1054,0.53211,-3.9986
2.0529,0.0086237,-1.3192
0.64118,-0.097643,1.0976
2.7248,0.17395,-2.2899
3.3427,0.43233,-2.4249
2.2823,0.19607,-1.7027
3.5333,0.47951,-3.0851
3.9432,0.5508,-4.2436
2.4168,0.27341,-1.3309
3.3556,0.31367,-3.0364
1.8143,0.14904,-0.5397
4.4767,0.85203,-5.3203
4.1161,0.71301,-4.0451
3.9663,0.56223,-4.1839
2.9075,0.31895,-2.3899
3.2772,0.41857,-3.3727
3.9849,0.67951,-4.0959
1.9609,0.092061,-0.92311
2.4698,0.11024,-1.9135
3.3292,0.23186,-2.4332
1.3162,0.058643,-0.39056
2.749,0.29004,-2.1299
3.2332,0.31185,-3.0452
2.4243,0.35946,-1.4251
3.0959,0.26814,-2.153
3.2412,0.4215,-2.7218
3.6848,0.62217,-3.3231
3.8151,0.60881,-3.1968
3.1973,0.29387,-2.9779
4.649,0.77579,-4.9461
3.9542,0.65166,-3.5698
4.1167,0.71333,-4.1589
4.0403,0.62672,-4.4299
3.231,0.24377,-2.3056
1.9609,-0.16317,-0.70144
1.7345,0.077583,-0.69358
3.2426,0.39733,-2.4704
2.049,0.29144,-0.97519
2.8436,0.26009,-2.2489
2.2252,0.28399,-1.2891
3.7216,0.49449,-3.5142
2.3691,0.17489,-1.7543
1.9079,0.12414,-1.0967
2.719,0.07284,-2.5845
1.7595,0.071698,-0.75038
2.6305,0.22301,-1.7678
3.6783,0.63267,-3.3236
3.9568,0.6955,-3.9199
2.7796,0.25506,-2.5229
3.7905,0.26744,-3.0665
4.1394,0.6098,-4.0361
3.5215,0.47292,-2.9276
3.4497,0.53284,-3.6601
4.5082,0.87702,-5.4074
2.2435,0.11206,-1.5447
2.1722,0.10422,-0.84838
3.2282,0.27797,-3.2364
3.7734,0.55626,-3.5893
2.6041,0.18016,-1.8136
3.1968,0.29061,-2.9333
2.5986,0.26158,-1.6015
4.8357,1.117,-5.2251
3.8207,0.57398,-4.0515
3.6652,0.44777,-4.1083
2.5889,0.15906,-1.5322
3.3155,0.40662,-3.1794
3.0663,0.23245,-2.7288
2.7331,0.19521,-2.1412
3.189,0.20457,-3.3428
3.5413,0.43673,-3.189
2.3182,0.13202,-1.1796
3.9426,0.84267,-3.2514
3.7097,0.58964,-3.3178
4.2229,0.55452,-4.2725
2.9141,0.23612,-2.5074
3.8334,0.50132,-3.5865
3.9171,0.82314,-3.9285
2.5467,0.22095,-2.3476
2.8285,0.18432,-2.6179
3.7282,0.46402,-3.6225
3.1792,0.26683,-2.805
2.179,0.054463,-1.4228
1.7986,-0.052451,-0.84835
4.6151,0.84394,-4.8167
3.4006,0.26943,-3.1044
4.569,1.0191,-4.919
3.083,0.46016,-2.7512
4.714,1.034,-4.7181
3.7304,0.49195,-3.6737
2.2754,0.15378,-1.1721
4.7856,1.0726,-5.1781
2.859,0.28029,-2.6636
2.6251,0.16289,-1.7735
5.5686,1.7516,-6.4927
3.4323,0.56388,-3.2042
3.0606,0.23947,-1.8651
1.1991,-0.013959,-0.079222
1.6412,-0.12156,0.085084
3.3966,0.42206,-3.0188
2.4944,0.17792,-1.6318
3.4422,0.36267,-3.4177
3.517,0.38024,-3.512
3.1073,0.31179,-2.6269
1.5193,0.009317,0.0041108
3.7236,0.36586,-3.1094
3.1369,0.43023,-2.1076
4.1722,0.84607,-3.8912
6.1439,2.4427,-7.657
2.9704,0.23341,-2.5478
3.654,0.44236,-3.1203
3.859,0.89231,-3.4631
2.5098,-0.091964,-1.9897
4.7618,1.0777,-5.1266
2.1201,0.08162,-1.262
2.0303,0.22849,-0.89075
5.9001,2.1549,-6.8894
1.7549,-0.057713,-0.42375
2.5817,0.40707,-2.155
2.2323,0.090143,-1.2307
2.1433,0.12925,-1.4094
2.36,0.074641,-1.4501
4.0853,0.51642,-4.2385
4.2293,0.81221,-4.1113
3.0504,0.31394,-2.7632
2.9126,0.30778,-2.31
4.3714,0.93759,-4.6156
4.1962,0.63123,-4.1848
4.5737,0.8088,-4.8446
4.9329,1.1805,-5.3541
2.5416,0.081786,-1.9078
1.8342,-0.028101,-0.96267
3.6689,0.36203,-3.3101
2.3568,0.08949,-1.8991
2.3616,0.14255,-1.1313
4.3359,0.73542,-4.9231
2.5103,0.23647,-2.0808
2.364,0.15237,-1.8007
2.9806,0.17377,-2.7255
2.81,0.37208,-2.0281
1.7985,-0.039452,-0.80226
3.1422,0.30839,-1.999
3.7349,0.58467,-3.6938
1.9997,-0.051162,-1.2804
3.1454,0.22275,-2.6728
3.5298,0.57352,-2.9965
3.3062,0.18904,-2.5776
3.0014,0.26504,-2.331
2.7327,0.087058,-1.9832
0.78738,0.17132,0.84433
1.0937,0.08931,0.86037
2.8754,0.27272,-2.729
3.679,0.49389,-3.9437
3.0279,0.22269,-2.687
2.9775,0.24242,-2.1919
3.2395,0.17384,-2.423
2.5151,0.060534,-2.0727
2.1389,0.21259,-0.86437
3.5124,0.27084,-3.0477
2.6704,0.085008,-2.4395
2.937,0.32216,-2.1712
2.6781,0.42505,-1.9928
4.3836,0.8208,-4.4137
2.7419,-0.0080319,-2.3246
3.8247,0.5578,-4.0465
1.9532,0.1402,-1.065
